Site_code,LATITUDE,LONGITUDE,GPS_ELEV
Saddle Sensor Array Node 16,40.05183164,-105.5916548,
Saddle Sensor Array Node 17,40.05173803,-105.5908914,
Saddle Sensor Array Node 18,40.05104225,-105.5924275,
Saddle Sensor Array Node 19,40.05068314,-105.5915899,
Saddle Sensor Array Node 20,40.0507743,-105.5908224,
Saddle Sensor Array Node 21,40.05162678,-105.5893203,
Saddle Sensor Array Node 6,40.05499128,-105.5905549,
Saddle Sensor Array Node 7,40.05484184,-105.5900825,
Saddle Sensor Array Node 8,40.05477813,-105.5896389,
Saddle Sensor Array Node 9,40.05458662,-105.5888174,
Snowbed Arikaree Plot A1,40.0509509,-105.6446766,
Snowbed Arikaree Plot A2,40.0516476,-105.6440589,
Snowbed Arikaree Plot A3,40.0520701,-105.6439695,
Snowbed Arikaree Plot A4,40.0524546,-105.6435774,
Snowbed Arikaree Plot A5,40.0531427,-105.6428941,
Snowbed Arikaree Plot B2,40.0509999,-105.6430825,
Snowbed Arikaree Plot B3,40.0516139,-105.6429503,
Snowbed Arikaree Plot B4,40.0523509,-105.6424741,
Snowbed Arikaree Plot B5,40.0528856,-105.6419003,
Snowbed Arikaree Plot C1,40.0511686,-105.6416382,
Snowbed Arikaree Plot C2,40.0517127,-105.640875,
Snowbed Arikaree Plot C3,40.0521859,-105.6405198,
Snowbed Arikaree Plot C4,40.0522496,-105.6394924,
Snowbed Arikaree Plot D1,40.0517294,-105.6378637,
Snowbed Arikaree Plot D2,40.0518652,-105.6375964,
Snowbed D1 Plot A1,40.0575235,-105.6243245,
Snowbed D1 Plot A2,40.0576511,-105.6239295,
Snowbed D1 Plot A3,40.0578929,-105.6233864,
Snowbed D1 Plot A4,40.0580656,-105.623049,
Snowbed D1 Plot A5,40.0583412,-105.6227275,
Snowbed D1 Plot B1,40.05727,-105.6241754,
Snowbed D1 Plot B2,40.0574464,-105.6237426,
Snowbed D1 Plot B3,40.0576129,-105.6232711,
Snowbed D1 Plot B4,40.0578574,-105.622748,
Snowbed D1 Plot C1,40.0569757,-105.6241443,
Snowbed D1 Plot C2,40.0571266,-105.6236156,
Snowbed D1 Plot C3,40.0573661,-105.6228788,
Snowbed D1 Plot D1,40.0560558,-105.6233185,
Snowbed D1 Plot D2,40.0566691,-105.6232139,
Snowbed D1 Plot D3,40.0571666,-105.6225111,
Snowbed Martinelli Plot A1,40.0531599,-105.5966763,
Snowbed Martinelli Plot A2,40.0531449,-105.5962968,
Snowbed Martinelli Plot A3,40.0531181,-105.595951,
Snowbed Martinelli Plot A4,40.0531063,-105.5956031,
Snowbed Martinelli Plot B1,40.0523668,-105.5969456,
Snowbed Martinelli Plot B2,40.0525553,-105.5966865,
Snowbed Martinelli Plot B3,40.052699,-105.596465,
Snowbed Martinelli Plot B4,40.0528486,-105.5960992,
Snowbed Martinelli Plot B5,40.0528,-105.5957578,
Snowbed Martinelli Plot C1,40.0521677,-105.5964126,
Snowbed Martinelli Plot C2,40.0521619,-105.5960656,
Snowbed Martinelli Plot C3,40.0521515,-105.5957899,
Snowbed Martinelli Plot D1,40.050987,-105.5964954,
Snowbed Martinelli Plot D2,40.0511066,-105.5961398,
Snowbed Martinelli Plot D3,40.0511996,-105.5957377,
Snowbed Ridges Plot A1,40.0571434,-105.6045923,
Snowbed Ridges Plot A2,40.0575431,-105.6047558,
Snowbed Ridges Plot B1,40.057191,-105.6042282,
Snowbed Ridges Plot B2,40.0572694,-105.6042681,
Snowbed Ridges Plot B3,40.0574075,-105.6043381,
Snowbed Ridges Plot B4,40.0576924,-105.6044093,
Snowbed Ridges Plot C1,40.0570459,-105.6040427,
Snowbed Ridges Plot C2,40.0571789,-105.6039679,
Snowbed Ridges Plot C3,40.0573213,-105.6038272,
Snowbed Ridges Plot C4,40.0575735,-105.6042498,
Snowbed Ridges Plot D1,40.0568445,-105.6034595,
Snowbed Ridges Plot D2,40.057185,-105.603555,
Snowbed Ridges Plot D3,40.0574466,-105.6035006,
Snowbed Ridges Plot D4,40.0574461,-105.6038084,
Snowbed Ridges Plot D5,40.0577637,-105.6040585,
Snowbed Soddie Plot A1,40.0508191,-105.5754044,
Snowbed Soddie Plot A2,40.0510781,-105.5740874,
Snowbed Soddie Plot A3,40.0515066,-105.5730352,
Snowbed Soddie Plot B1,40.0500491,-105.5740872,
Snowbed Soddie Plot B2,40.0493757,-105.5732075,
Snowbed Soddie Plot B3,40.0502429,-105.5735158,
Snowbed Soddie Plot B4,40.0508078,-105.5730974,
Snowbed Soddie Plot B5,40.0499813,-105.5727137,
Snowbed Soddie Plot C1,40.0490743,-105.5732377,
Snowbed Soddie Plot C2,40.0491398,-105.5729277,
Snowbed Soddie Plot C3,40.0492368,-105.5726123,
Snowbed Soddie Plot D1,40.0489658,-105.5733194,
Snowbed Soddie Plot D2,40.0488194,-105.5732301,
Snowbed Soddie Plot D3,40.0490698,-105.5729103,
Snowbed Soddie Plot D4,40.0490315,-105.5726843,
BLACKSANDEXPT_Audubon_Control_BottomLeft,40.06137,-105.5902,
BLACKSANDEXPT_Audubon_Control_BottomRight,40.06144,-105.5903,
BLACKSANDEXPT_Audubon_Control_TopLeft,40.06119,-105.5906,
BLACKSANDEXPT_Audubon_Control_TopRight,40.06127,-105.5907,
BLACKSANDEXPT_Audubon_Sand_BottomLeft,40.06145,-105.5903,
BLACKSANDEXPT_Audubon_Sand_BottomRight,40.06154,-105.5903,
BLACKSANDEXPT_Audubon_Sand_TopLeft,40.06128,-105.5907,
BLACKSANDEXPT_Audubon_Sand_TopRight,40.06136,-105.5907,
BLACKSANDEXPT_EastKnoll_Control_BottomLeft,40.0535,-105.586,
BLACKSANDEXPT_EastKnoll_Control_BottomRight,40.05356,-105.586,
BLACKSANDEXPT_EastKnoll_Control_TopLeft,40.05378,-105.5863,
BLACKSANDEXPT_EastKnoll_Control_TopRight,40.05383,-105.5862,
BLACKSANDEXPT_EastKnoll_Sand_BottomLeft,40.05358,-105.5859,
BLACKSANDEXPT_EastKnoll_Sand_BottomRight,40.05363,-105.5858,
BLACKSANDEXPT_EastKnoll_Sand_TopLeft,40.05389,-105.5862,
BLACKSANDEXPT_EastKnoll_Sand_TopRight,40.05393,-105.5861,
BLACKSANDEXPT_Lefty_Control_BottomLeft,40.056,-105.5765,
BLACKSANDEXPT_Lefty_Control_BottomRight,40.05607,-105.5766,
BLACKSANDEXPT_Lefty_Control_TopLeft,40.05576,-105.5768,
BLACKSANDEXPT_Lefty_Control_TopRight,40.05584,-105.5769,
BLACKSANDEXPT_Lefty_Sand_BottomLeft,40.05608,-105.5766,
BLACKSANDEXPT_Lefty_Sand_BottomRight,40.05615,-105.5766,
BLACKSANDEXPT_Lefty_Sand_TopLeft,40.05585,-105.5769,
BLACKSANDEXPT_Lefty_Sand_TopRight,40.05593,-105.5769,
BLACKSANDEXPT_Soddie_Control_BottomLeft,40.04911,-105.5743,
BLACKSANDEXPT_Soddie_Control_BottomRight,40.04914,-105.5742,
BLACKSANDEXPT_Soddie_Control_TopLeft,40.04943,-105.5744,
BLACKSANDEXPT_Soddie_Control_TopRight,40.04946,-105.5743,
BLACKSANDEXPT_Soddie_Sand_BottomLeft,40.04905,-105.5746,
BLACKSANDEXPT_Soddie_Sand_BottomRight,40.04907,-105.5745,
BLACKSANDEXPT_Soddie_Sand_TopLeft,40.04938,-105.5747,
BLACKSANDEXPT_Soddie_Sand_TopRight,40.0494,-105.5746,
BLACKSANDEXPT_Trough_Control_BottomLeft,40.04969,-105.5824,
BLACKSANDEXPT_Trough_Control_BottomRight,40.04972,-105.5823,
BLACKSANDEXPT_Trough_Control_TopLeft,40.05002,-105.5825,
BLACKSANDEXPT_Trough_Control_TopRight,40.05005,-105.5824,
BLACKSANDEXPT_Trough_Sand_BottomLeft,40.04973,-105.5823,
BLACKSANDEXPT_Trough_Sand_BottomRight,40.04976,-105.5821,
BLACKSANDEXPT_Trough_Sand_TopLeft,40.05005,-105.5824,
BLACKSANDEXPT_Trough_Sand_TopRight,40.05009,-105.5823,
