"ALT_SITECODE","LATITUDE","LONGITUDE","GPS_ELEV","slope","aspect","aspect_norhtness","aspect_eastness","dtm","NDVI","SAVI"
"Saddle Pt Quad 67",40.0574816785,-105.589217742,3516.542,11.0549091859297,291.80609159578,0.997461674579027,-0.0476884479525592,3517.5732421875,0.833328263326125,0.584987591613423
"Saddle Pt Quad 68",40.0573569558,-105.588656361,3516.923,4.27183330059052,25.0636665026347,0.901804877941222,0.421664208451849,3517.32167561849,0.707706466317177,0.424046556154887
"Saddle Pt Quad 69",40.0572540373,-105.58808185,3518.987,8.71463628248735,329.408635919744,0.843365730925325,-0.499225742417085,3518.95572176847,0.458355421369726,0.280705107883974
"Saddle Pt Quad 70",40.0571215519,-105.587502679,3521.854,7.87863644686612,226.331547000191,0.988487202817147,-0.0476257924164589,3522.64226740057,0.483397630127993,0.299935235218568
"Saddle Pt Quad 70A",40.0570179821,-105.586936432,3529.63,10.9866923552293,315.023383507362,0.706253609954444,-0.705674059755016,3529.68520883413,0.52194062104592,0.326311432398283
"Saddle Pt Quad 71",40.058564398,-105.59250437,3543.414,13.3224999507268,53.3284163475037,0.56175070201514,0.754364609365299,3543.48156738281,0.220354666933417,0.139686859523257
"Saddle Pt Quad 72",40.0584008914,-105.591827464,3535.939,14.5991429601397,39.3700708661761,0.770105223421834,0.631837981382144,3536.11193847656,0.536288261413574,0.30408944615296
"Saddle Pt Quad 73",40.0582885124,-105.591367318,3528.616,11.5092309071467,43.6590769841121,0.722844100542131,0.689769031861025,3529.73822490986,0.58801770898012,0.345040073761573
"Saddle Pt Quad 74",40.0581931486,-105.590753898,3520.112,4.74438465558566,66.6385383605957,0.394852065168053,0.914090901792716,3521.09658578726,0.326416725149521,0.197286697534414
"Saddle Pt Quad 75",40.0580666027,-105.590168093,3515.389,8.58508328596751,58.8723335266113,0.515909201791737,0.854266028966303,3515.66949462891,0.27424090479811,0.166748568415642
"Saddle Pt Quad 76",40.0579389747,-105.589700504,3510.757,8.72183326880137,183.555251576006,0.956122386864926,0.0548617904651684,3511.63210042318,0.363085721929868,0.224388346076012
"Saddle Pt Quad 77",40.0579253976,-105.58904868,3508.174,7.05745458602905,165.411909330975,0.994265734855304,0.0307815421707263,3509.01713423295,0.710653657262975,0.452574610710144
"Saddle Pt Quad 78",40.0577507864,-105.588473371,3512.625,6.41953846124502,29.0132306905893,0.865250784737333,0.480308649840756,3512.48384915865,0.512278875479331,0.319873234400382
"Saddle Pt Quad 79",40.0576811994,-105.587929675,3512.421,7.2101537997906,86.9788479936811,0.994760456122646,0.0678032002501538,3512.22105994591,0.48207386640402,0.287100908847956
"Saddle Pt Quad 80",40.057549218,-105.5873398,3514.446,7.77384614944458,308.990462083083,0.625147752224814,-0.77280444131403,3515.43744365986,0.431342693475577,0.24619102707276
"Saddle Pt Quad 80A",40.0574014455,-105.586787932,3522.352,16.510230577909,314.415694016677,0.697391737257535,-0.711846145109413,3523.05530724159,0.581994542708764,0.358306630299642
