"ALT_SITECODE","LATITUDE","LONGITUDE","GPS_ELEV","slope","aspect","aspect_norhtness","aspect_eastness","dtm","NDVI","SAVI"
"Saddle Pt Quad 17",40.0552987138,-105.58993715,3528.725,2.95799994468689,154.419006347656,-0.901975809713573,0.431786566131398,3530.830078125,0.538180649280548,0.32020029425621
"Saddle Pt Quad 18",40.0551819228,-105.589427149,3530.359,1.97200000286102,124.379997253418,-0.564678910503242,0.825310685761957,3530.65698242188,0.453522801399231,0.274289786815643
"Saddle Pt Quad 19",40.0550571344,-105.588807984,3531.503,4.69600009918213,264.049987792969,-0.103660751403568,-0.994612712877956,3533.09399414062,0.413401454687119,0.256277829408646
"Saddle Pt Quad 20",40.0549543377,-105.58822912,3538.602,8.79300022125244,276.071014404297,0.105761028079546,-0.994391575255723,3540.01806640625,0.28415447473526,0.182809829711914
"Saddle Pt Quad 20A",40.0547820778,-105.587672571,3544.369,4.74700021743774,142.826995849609,-0.796814696424403,0.60422374958461,3543.84692382812,0.384569376707077,0.231184080243111
"Saddle Pt Quad 21",40.0563377859,-105.593162759,3570.988,15.0480003356934,120.174003601074,-0.502627753722608,0.864502944580159,3570.9580078125,0.430478930473328,0.263410300016403
"Saddle Pt Quad 22",40.0562742312,-105.592659397,3561.683,9.40999984741211,97.3629989624023,-0.128155158512072,0.991754130491396,3561.7080078125,0.614103257656097,0.385724246501923
"Saddle Pt Quad 23",40.0561658281,-105.592031893,3549.991,13.3170003890991,109.986000061035,-0.341790523896253,0.939776163655327,3550.3740234375,0.376615405082703,0.222545474767685
"Saddle Pt Quad 24",40.0560121496,-105.591446479,3541.385,2.7739999294281,86.1719970703125,0.0667615612707191,0.997768958194579,3542.32397460938,0.537459254264832,0.306691408157349
"Saddle Pt Quad 25",40.0559041144,-105.590922218,3536.989,3.79900002479553,90.6320037841797,-0.0110303232338012,0.999939164134178,3536.93603515625,0.675695776939392,0.354970753192902
"Saddle Pt Quad 26",40.0558185394,-105.590349894,3532.565,3.6470000743866,115.251998901367,-0.426600293739596,0.904440263025309,3533.26708984375,0.692778468132019,0.410740196704865
"Saddle Pt Quad 27",40.0557358454,-105.589848237,3529.794,1.58800005912781,79.0859985351562,0.189335400223618,0.98191247380923,3530.90698242188,0.628384172916412,0.388706058263779
"Saddle Pt Quad 28",40.0556186576,-105.58923374,3530.133,1.27199995517731,330.7919921875,0.872853884164113,-0.487981656314683,3530.92797851562,0.508387506008148,0.281214475631714
"Saddle Pt Quad 29",40.0554681471,-105.588678108,3532.618,1.75800001621246,316.369995117188,0.723810619434844,-0.689998686370741,3533.35400390625,0.466237902641296,0.284111142158508
"Saddle Pt Quad 30",40.0553928871,-105.588087847,3536.463,9.18900012969971,310.040985107422,0.643335415979807,-0.765584445078457,3538.17602539062,0.387609660625458,0.245259046554565
